iter	Logloss	Accuracy	F1
0	0.6095560357	0.7625390625	0.6529022828
1	0.553426298	0.7888671875	0.7125519853
2	0.5095209473	0.8043515625	0.7361422807
3	0.4780294517	0.813953125	0.7468965224
4	0.4562316076	0.8189140625	0.7541811163
5	0.4356215687	0.8278203125	0.7653953013
6	0.4170485197	0.8356796875	0.7773649614
7	0.4054905825	0.8386640625	0.7826736685
8	0.3862069224	0.8477578125	0.7963293931
9	0.377011288	0.85190625	0.8024799416
10	0.3675058455	0.8571171875	0.8096303775
11	0.357808869	0.8614140625	0.8158230805
12	0.3518953349	0.863953125	0.8199172699
13	0.343298144	0.866578125	0.8239708095
14	0.3353229865	0.8700234375	0.8288603376
15	0.328200936	0.87315625	0.8333230674
16	0.3216735769	0.8756796875	0.8370387818
17	0.3176997829	0.8774453125	0.8396356611
18	0.3112919792	0.8797734375	0.8432365255
19	0.3026571773	0.884125	0.8493234183
20	0.2998479557	0.88509375	0.8507014231
21	0.2966490784	0.886234375	0.8524948846
22	0.2922331849	0.8876953125	0.8546790809
23	0.2872426444	0.890328125	0.8582306605
24	0.2853582698	0.8910546875	0.8593275565
25	0.2825052823	0.892171875	0.8608893727
26	0.2772980961	0.8943671875	0.8640162525
27	0.2741854871	0.8957109375	0.865891761
28	0.272294203	0.896296875	0.8667135255
29	0.2714100516	0.8968046875	0.8674261053
30	0.2697534918	0.8970546875	0.8678401284
31	0.2680369383	0.8977109375	0.8686773453
32	0.2655988207	0.8992734375	0.870740388
33	0.2628091643	0.8996875	0.871360731
34	0.260393461	0.900671875	0.8726434939
35	0.2580164536	0.9016796875	0.8740429365
36	0.2544567443	0.903265625	0.8762196097
37	0.2530178934	0.903828125	0.8769467602
38	0.2520590521	0.90425	0.8775306273
39	0.2501465783	0.904828125	0.8782822429
40	0.2468537756	0.9062578125	0.8802076574
41	0.2457908454	0.9065390625	0.8805980577
42	0.2446791944	0.9067421875	0.8809169901
43	0.2420552202	0.9080625	0.8826626251
44	0.2410063122	0.90846875	0.8831811112
45	0.2383423676	0.909671875	0.8847625882
46	0.237214577	0.91003125	0.8852782371
47	0.2356384175	0.910703125	0.8861803191
48	0.2353548275	0.9108671875	0.8863905679
49	0.2340928146	0.91146875	0.8871651897
50	0.2318860746	0.9125078125	0.8884817223
51	0.2299893265	0.9129765625	0.8891807193
52	0.2292696133	0.91340625	0.8897465484
53	0.2281506404	0.9138125	0.8902878056
54	0.2263489597	0.9143359375	0.8909660419
55	0.2242873652	0.915015625	0.8918816841
56	0.2216657878	0.91615625	0.8933815494
57	0.2202307257	0.91690625	0.8943562645
58	0.2199025334	0.9172734375	0.8948345897
59	0.2192132668	0.9175546875	0.8952025343
60	0.2182493413	0.9178515625	0.8956130685
61	0.2167424234	0.918140625	0.8960453995
62	0.2141234644	0.9196875	0.8980543049
63	0.2125788139	0.9207109375	0.8993803599
64	0.2111942917	0.92128125	0.9001090513
65	0.2107525825	0.921515625	0.9004202847
66	0.2103382735	0.9216875	0.9006363871
67	0.2100053463	0.921765625	0.9007571553
68	0.2097079928	0.921921875	0.9009455468
69	0.2091457367	0.92221875	0.9013026151
70	0.2088218001	0.92240625	0.9015698089
71	0.2074681836	0.9230703125	0.9024518302
72	0.2069327469	0.9233125	0.9027598914
73	0.2066629559	0.9233515625	0.9028007569
74	0.2063542863	0.9236015625	0.903119706
75	0.2060535864	0.92390625	0.9035127692
76	0.2050402926	0.924265625	0.9039589443
77	0.2042792426	0.924453125	0.9042081071
78	0.2036023383	0.9246796875	0.9044925454
79	0.2030721216	0.924828125	0.904681711
80	0.2025075821	0.925171875	0.9051251065
81	0.2020342896	0.92540625	0.9054222715
82	0.2017302583	0.9256484375	0.9057396127
83	0.2013566876	0.9258515625	0.9060008517
84	0.2005050684	0.926296875	0.9065626052
85	0.1999452466	0.926421875	0.9067284648
86	0.1981164915	0.9275234375	0.9081566989
87	0.1978095899	0.9276640625	0.9083621176
88	0.1963376561	0.9283828125	0.9092690652
89	0.1946990438	0.929171875	0.9102820386
90	0.1934424293	0.929546875	0.9107552846
91	0.1919001227	0.92996875	0.9113300493
92	0.1915169131	0.930125	0.9115436348
93	0.1911881254	0.9302734375	0.9117341641
94	0.190885554	0.9305234375	0.9120558539
95	0.1902819944	0.9307421875	0.9123535518
96	0.1899898124	0.9306953125	0.9123011675
97	0.1888504729	0.9312265625	0.9129837394
98	0.1886483222	0.931453125	0.9132729717
99	0.1875617657	0.9317421875	0.9136463821
100	0.1870189901	0.9321015625	0.9141027288
101	0.1857112955	0.93278125	0.9149667932
102	0.1846983231	0.93321875	0.9155386044
103	0.1841619011	0.9333984375	0.9157850023
104	0.1838133029	0.9335703125	0.9160139466
105	0.1831464564	0.933875	0.9164098918
