iter	Passed	Remaining
0	104	104126
1	203	101603
2	338	112405
3	551	137340
4	850	169237
5	1139	188798
6	1391	197346
7	1649	204530
8	1905	209795
9	2067	204638
10	2264	203620
11	2407	198206
12	2525	191774
13	2708	190778
14	2831	185961
15	3033	186588
16	3158	182612
17	3374	184082
18	3531	182327
19	3698	181226
20	3916	182600
21	4042	179698
22	4219	179222
23	4399	178932
24	4578	178574
25	4707	176356
26	4965	178926
27	5079	176326
28	5230	175126
29	5338	172606
30	5472	171050
31	5616	169908
32	5768	169041
33	5919	168190
34	6087	167830
35	6204	166143
36	6371	165826
37	6537	165492
38	6669	164340
39	6876	165044
40	7061	165180
41	7177	163710
42	7271	161833
43	7503	163036
44	7647	162294
45	7803	161838
46	7961	161440
47	8130	161253
48	8220	159548
49	8357	158800
50	8498	158132
51	8616	157078
52	8735	156077
53	8895	155828
54	9050	155511
55	9181	154769
56	9355	154775
57	9549	155099
58	9760	155666
59	9886	154890
60	10029	154383
61	10166	153807
62	10302	153228
63	10455	152910
64	10559	151887
65	10700	151433
66	10857	151200
67	11102	152169
68	11270	152067
69	11468	152362
70	11595	151721
71	11743	151354
72	11865	150674
73	12020	150420
74	12124	149533
75	12270	149182
76	12412	148792
77	12557	148434
78	12779	148983
79	12880	148124
80	12997	147467
81	13103	146693
82	13249	146379
83	13412	146257
84	13547	145839
85	13714	145755
86	13836	145203
87	13970	144782
88	14167	145017
89	14402	145620
90	14597	145815
91	14797	146041
92	14939	145703
93	15124	145777
94	15245	145231
95	15428	145286
96	15545	144713
97	15670	144230
98	15841	144169
99	15970	143738
100	16177	143996
101	16324	143715
102	16443	143204
103	16556	142639
104	16730	142603
105	16872	142303
106	16969	141624
107	17082	141090
108	17232	140861
109	17351	140385
110	17477	139974
111	17575	139349
112	17683	138811
113	17834	138608
114	18017	138655
115	18189	138618
116	18294	138065
117	18476	138106
118	18580	137558
119	18757	137558
120	18894	137259
121	19043	137051
122	19220	137046
123	19359	136767
124	19558	136907
125	19693	136601
126	19868	136578
127	20025	136425
128	20204	136419
129	20420	136658
130	20528	136176
131	20743	136407
132	20917	136360
133	21063	136124
134	21241	136100
135	21419	136078
136	21522	135576
137	21636	135151
138	21759	134785
139	21879	134403
140	21994	133992
141	22118	133646
142	22293	133607
143	22429	133333
144	22586	133181
145	22768	133181
146	22880	132769
147	23022	132536
148	23136	132142
149	23253	131768
150	23428	131726
151	23574	131522
152	23720	131313
153	23850	131025
154	24015	130920
155	24192	130885
156	24318	130573
157	24407	130068
158	24841	131394
159	24952	131000
160	25222	131436
161	25515	131987
162	25717	132058
163	25915	132103
164	26266	132926
165	26517	133228
166	26860	133980
167	27024	133833
168	27268	134082
169	27356	133562
170	27502	133331
171	27728	133483
172	28023	133959
173	28171	133732
174	28338	133595
175	28548	133657
176	28746	133662
177	28949	133688
178	29097	133459
179	29298	133470
180	29532	133628
181	29720	133577
182	29881	133404
183	30091	133448
184	30294	133460
185	30411	133093
186	30588	132985
187	30757	132846
188	30908	132628
189	31058	132409
190	31284	132509
191	31456	132379
192	31621	132219
193	31833	132258
194	31891	131653
195	32177	131994
196	32379	131982
197	32559	131880
198	32800	132026
199	32948	131794
200	33299	132368
201	33570	132621
202	33717	132378
203	33982	132596
204	34227	132737
205	34413	132642
206	34636	132688
207	34837	132651
208	35207	133249
209	35495	133529
210	35710	133532
211	35836	133203
212	36007	133042
213	36153	132788
214	36467	133148
215	36697	133198
216	36835	132911
217	37056	132928
218	37314	133070
219	37468	132843
220	38513	135756
221	38650	135449
222	38781	135125
223	38893	134736
224	39047	134496
225	39160	134114
226	39302	133835
227	39419	133474
228	39536	133110
229	39688	132868
230	39838	132621
231	39982	132356
232	40103	132013
233	40315	131972
234	40463	131722
235	40748	131916
